acc_ref,beat_no,severity,no_vehicle,no_casualt,a_date,a_day,a_date_day,a_date_mon,a_date_yr,a_time_hr,a_time_min,loc_auth,road1_class,road1_no,road_type,speed_limi,junc_det,junc_ctrl,road2_class,road2_no,light_cond,weather,road_surf,spec_cond,cway_hzrds,ovrtk_patrn,easting,northing,net_id,net_type,acc_type,text_id,division,Postcode,ped_xing_hc,ped_xing_p,place_reported,Latitude,Longitude
643011,,Slight,2,1,11/10/2011,Tuesday,11,October,11,16,30,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,B,7030,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,312400,672540,12231700,Junction,T.V.N.P.,351393,unset,EH288PJ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9379607345,-3.40251301173
647611,,Serious,2,1,13/10/2011,Thursday,13,October,11,13,40,230,Unclassified,,Single carriageway - 2 lanes,30,Using private drive or entrance,Give way sign or markings,Unclassified,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,318720,670590,2586909,Segment,T.V.N.P.,351394,unset,EH129BU,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9215528623,-3.30077056112
647811,,Slight,2,2,12/10/2011,Wednesday,12,October,11,13,50,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,322780,671620,522234,Junction,T.V.N.P.,351395,unset,EH141PB,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9314749762,-3.23610803057
649711,,Slight,1,1,14/10/2011,Friday,14,October,11,12,45,230,A,8,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,321740,673090,521241,Junction,Pedestrian,351396,unset,EH126JG,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Central refuge - no other controls,At scene,55.9445128743,-3.25317783066
649911,,Slight,3,1,14/10/2011,Friday,14,October,11,1,0,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,327370,676630,0,Unset,M.V.N.P.,351397,unset,EH67DH,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9771997713,-3.16400053043
650011,,Slight,1,2,14/10/2011,Friday,14,October,11,13,0,230,B,900,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324760,674730,520137,Junction,Pedestrian,351398,unset,EH35AZ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene,55.9597285828,-3.20528851432
651711,,Slight,1,1,14/10/2011,Friday,14,October,11,20,5,230,A,700,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,324950,672940,533362,Junction,Pedestrian,351399,unset,EH39JG,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene,55.9436772314,-3.20174733559
651911,,Slight,1,1,15/10/2011,Saturday,15,October,11,0,45,230,A,90,Single carriageway - 2 lanes,30,Other junction,Automatic Traffic Signal,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,324770,673780,521001,Junction,Bus,351400,unset,EH24AX,No crossing facility within 50m or physical crossing facility not controlled by authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene,55.9511955161,-3.20486321669
654511,,Slight,3,1,07/10/2011,Friday,7,October,11,10,10,230,A,90,Single carriageway - 2 lanes,40,Multiple junction,Automatic Traffic Signal,A,90,Daylight: street lights present,Unknown,Dry,None,None,No overtaking,318580,674950,519945,Junction,M.V.N.P.,356877,unset,EH48DZ,Control by other authorised person,Pedestrian phase at traffic signal junction,Elsewhere,55.9606972749,-3.30432620596
654711,,Serious,2,1,16/10/2011,Sunday,16,October,11,10,55,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325900,671120,533449,Junction,T.V.N.P.,351401,unset,EH92PP,No crossing facility within 50m or physical crossing facility not controlled by authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene,55.9274738981,-3.18603933076
